LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,PRECTOT,QV2M,RH2M,PS,WS50M_RANGE,WS10M_RANGE,WS50M,WS10M,T2M_RANGE
52.22961,21.01811,2015,02,09,    0.14,   -7.02,   -2.63,    2.49,    3.03,   96.02,   99.67,    3.78,    2.47,    7.18,    5.02,    7.16
52.22961,21.01811,2015,02,10,    1.10,   -0.99,   -0.08,    1.55,    3.67,   97.49,  100.62,    3.02,    2.12,    4.67,    2.69,    2.09
52.22961,21.01811,2015,02,11,    1.85,   -1.75,   -0.39,    0.24,    3.40,   92.71,  101.14,    4.13,    1.86,    3.76,    2.22,    3.60
52.22961,21.01811,2015,02,12,    2.61,   -2.46,   -0.56,    0.13,    3.38,   93.54,  101.22,    2.54,    1.46,    5.75,    3.30,    5.08
52.22961,21.01811,2015,02,13,    3.93,   -3.77,   -1.13,    0.06,    3.09,   88.77,  100.94,    3.76,    1.07,    6.04,    3.76,    7.70
52.22961,21.01811,2015,02,14,    5.35,   -5.17,   -1.15,    0.00,    3.07,   88.14,  100.54,    4.22,    2.18,    4.64,    2.89,   10.52
52.22961,21.01811,2015,02,15,    2.01,   -5.27,   -2.35,    0.05,    2.95,   93.04,  100.98,    5.39,    4.29,    6.87,    5.07,    7.28
52.22961,21.01811,2015,02,16,   -0.79,   -8.36,   -4.31,    0.03,    2.01,   73.95,  101.97,    2.43,    3.14,    9.95,    7.31,    7.56
52.22961,21.01811,2015,02,17,    0.07,  -10.59,   -6.00,    0.00,    1.59,   66.92,  102.32,    3.85,    4.61,   10.39,    7.32,   10.66
52.22961,21.01811,2015,02,18,    2.18,   -8.00,   -2.92,    0.10,    2.80,   93.08,  102.08,    2.64,    1.92,    7.66,    5.22,   10.19
52.22961,21.01811,2015,02,19,    2.88,   -2.40,    0.39,    1.07,    3.52,   90.86,  101.17,    2.98,    3.86,    8.19,    5.82,    5.28
52.22961,21.01811,2015,02,20,    6.32,   -2.08,    0.60,    0.00,    3.46,   87.17,  100.30,    4.48,    2.20,    6.94,    4.18,    8.40
52.22961,21.01811,2015,02,21,    5.47,   -1.53,    0.74,    0.00,    3.65,   89.92,   99.15,    5.21,    2.25,    7.91,    5.03,    7.00
52.22961,21.01811,2015,02,22,    6.49,   -1.38,    1.88,    0.14,    4.01,   91.27,   99.39,    5.24,    3.42,    3.28,    2.38,    7.88
52.22961,21.01811,2015,02,23,    7.66,   -1.09,    2.16,    0.25,    4.27,   94.90,   99.12,    6.67,    2.43,    5.98,    3.88,    8.75
52.22961,21.01811,2015,02,24,    7.31,    0.79,    3.32,    0.17,    4.27,   87.65,   99.25,    5.41,    3.74,    3.94,    2.65,    6.52
52.22961,21.01811,2015,02,25,    8.28,   -0.29,    2.96,    0.44,    4.27,   90.53,  100.15,    4.06,    1.41,    4.62,    2.82,    8.57
52.22961,21.01811,2015,02,26,    7.35,    0.71,    3.29,    1.16,    4.56,   94.96,  100.56,    1.31,    1.64,    4.71,    3.00,    6.64
52.22961,21.01811,2015,02,27,    8.13,   -0.17,    3.31,    0.07,    4.18,   86.67,  100.17,    4.00,    1.86,    2.70,    1.85,    8.30
52.22961,21.01811,2015,02,28,    8.49,   -1.93,    2.93,    0.18,    4.39,   93.46,  100.27,    3.14,    2.46,    3.87,    2.54,   10.43
